stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
00001,,"COLUMBUS ST & BROADWAY",,  41.392985, -81.536518,,,0,
00002,,"10800 BROOKPARK RD (HOME DEPOT)",,  41.418571, -81.760947,,,0,
00004,,"EUCLID AV & E 100TH ST",,  41.503697, -81.618108,,,0,
00005,,"10081 W RIDGEWOOD DR",,  41.384506, -81.756317,,,0,
00014,,"PROSPECT AV & ONTARIO ST",,  41.498030, -81.692012,,,0,
00019,,"1028 PROSPECT AV E",,  41.499123, -81.684377,,,0,
00020,,"1027 SUPERIOR AV E",,  41.502891, -81.687717,,,0,
00024,,"10406 KINSMAN RD",,  41.469926, -81.612171,,,0,
00025,,"10335 DETROIT AV",,  41.481026, -81.758801,,,0,
00026,,"10335 DETROIT AV",,  41.481180, -81.758991,,,0,
00028,,"QUINCY AV & WOOODHILL RD",,  41.493460, -81.612313,,,0,
00031,,"10603 DETROIT AV",,  41.481524, -81.760756,,,0,
00032,,"10603 DETROIT AV",,  41.481593, -81.760590,,,0,
00039,,"ST. CLAIR AV & E 106TH ST",,  41.539638, -81.613489,,,0,
00041,,"10708 KINSMAN RD",,  41.469199, -81.608649,,,0,
00043,,"MILES AV & E ELMARGE RD",,  41.445093, -81.609952,,,0,
00047,,"10705 LORAIN AV",,  41.464530, -81.760531,,,0,
00065,,"BUCKEYE RD & MARTIN LUTHER KING DR",,  41.481769, -81.609437,,,0,
00070,,"ST. CLAIR AV & E 112TH ST",,  41.540794, -81.606580,,,0,
00072,,"W PLEASANT VALLEY RD & CUYAHOGA COM COLLEGE WEST",,  41.363855, -81.764191,,,0,
00078,,"11109 W PLEASANT VALLEY RD",,  41.363835, -81.763759,,,0,
00083,,"11216 STOKES BLVD",,  41.493975, -81.604735,,,0,
00084,,"PEARL RD & IDLEWOOD TRAIL",,  41.330184, -81.836678,,,0,
00099,,"W PLEASANT VALLEY RD & E BICENTENNIAL DR",,  41.363934, -81.768807,,,0,
00109,,"BROOKPARK RD & CHEVROLET BLVD",,  41.418546, -81.770086,,,0,
00110,,"11801 LAKESHORE BLVD",,  41.555098, -81.602681,,,0,
00111,,"11801 LAKESHORE BLVD",,  41.555139, -81.602752,,,0,
00113,,"11820 EDGEWATER DR",,  41.490583, -81.771024,,,0,
00114,,"11843 EDGEWATER DR",,  41.490328, -81.770474,,,0,
00115,,"CLIFTON BLVD & FRY AV",,  41.488505, -81.772355,,,0,
00119,,"PEARL RD & PROGRESS DR",,  41.325352, -81.836814,,,0,
00123,,"12000 FAIRHILL RD",,  41.493064, -81.598856,,,0,
00124,,"12000 FAIRHILL RD",,  41.492879, -81.598898,,,0,
00138,,"1240 WARREN RD",,  41.489551, -81.799374,,,0,
00140,,"BUCKEYE RD & E 124TH ST",,  41.480316, -81.596803,,,0,
00142,,"1245 WARREN RD",,  41.489509, -81.799290,,,0,
00146,,"EDGEWATER DR & COVE DR",,  41.491859, -81.774617,,,0,
00147,,"W PLEASANT VALLEY RD & PARMA PARK BLVD",,  41.363947, -81.776212,,,0,
00148,,"W PLEASANT VALLEY RD & PARMA PARK BLVD",,  41.363861, -81.776437,,,0,
00149,,"12509 ST. CLAIR AV",,  41.541627, -81.597057,,,0,
00150,,"12518 LAKESHORE BLVD",,  41.560109, -81.597768,,,0,
00151,,"12521 LAKESHORE BLVD",,  41.560095, -81.597989,,,0,
00152,,"12543 LAKE AV",,  41.490906, -81.777146,,,0,
00153,,"12547 LAKE AV",,  41.490860, -81.777442,,,0,
00168,,"12720 LAKESHORE BLVD",,  41.561224, -81.596059,,,0,
00178,,"13200 PEARL RD",,  41.317731, -81.835635,,,0,
00190,,"12910 LAKESHORE BLVD",,  41.562668, -81.593901,,,0,
00192,,"LAKE AV & GOLD COAST LN",,  41.491448, -81.779969,,,0,place_wipl
00199,,"GOLD COAST LN LOOP",,  41.491957, -81.779893,,,0,place_wipl
00201,,"CORLETT AV & CORLETT LOOP",,  41.455474, -81.592621,,,0,
00202,,"PEARL RD & ZVERINA LN",,  41.317590, -81.835430,,,0,
00203,,"13003 LAKESHORE BLVD",,  41.562849, -81.593772,,,0,
00207,,"1311 CHARDON RD",,  41.571641, -81.535262,,,0,
00211,,"13207 MILES AV",,  41.445323, -81.590140,,,0,
00212,,"13211 LAKESHORE BLVD",,  41.564580, -81.591260,,,0,
00213,,"13211 LAKESHORE BLVD",,  41.564575, -81.591455,,,0,
00217,,"13300 BROOKPARK RD",,  41.418514, -81.783927,,,0,
00218,,"1331 CHARDON RD",,  41.574833, -81.537232,,,0,
00222,,"13405 LAKESHORE BLVD",,  41.565627, -81.590029,,,0,
00223,,"KINSMAN RD & E 135TH ST",,  41.465077, -81.589006,,,0,
00228,,"13478 LAKESHORE BLVD",,  41.565546, -81.589632,,,0,
00233,,"ST. CLAIR AV & WOODWORTH RD",,  41.545228, -81.590532,,,0,
00242,,"SLOANE AV & EDANOLA AV",,  41.482871, -81.829592,,,0,
00246,,"SLOANE AV & DETROIT RD",,  41.482585, -81.829498,,,0,
00247,,"CLIFTON BLVD & BUNTS RD",,  41.491444, -81.790184,,,0,
00254,,"BARTLETT AV & E 140TH ST",,  41.457540, -81.584486,,,0,
00261,,"14200 SUPERIOR RD",,  41.515502, -81.573698,,,0,
00264,,"14300 TURNEY RD",,  41.394521, -81.583732,,,0,
00269,,"14092 PEARL RD",,  41.311315, -81.835385,,,0,
00272,,"14201 PURITAS AV",,  41.433502, -81.792663,,,0,
00274,,"14401 TURNEY RD",,  41.393703, -81.580316,,,0,
00275,,"14600 TURNEY RD (ST. MARTIN'S CHURCH)",,  41.393705, -81.580757,,,0,
00287,,"1470 WARREN RD",,  41.483093, -81.799620,,,0,
00291,,"14701 TURNEY RD",,  41.393525, -81.578838,,,0,
00292,,"14730 TURNEY RD",,  41.393450, -81.578777,,,0,
00293,,"1476 WARRENSVILLE CTR RD",,  41.519422, -81.536585,,,0,
00301,,"1491 CHARDON RD",,  41.569789, -81.534102,,,0,
00302,,"BARTLETT AV & E 149TH ST",,  41.457591, -81.576491,,,0,
00316,,"15299 BAGLEY RD",,  41.369484, -81.805639,,,0,
00317,,"15299 BAGLEY RD",,  41.369232, -81.805599,,,0,
00319,,"15300 HOWE RD",,  41.310551, -81.815573,,,0,
00321,,"ST. CLAIR AV & E 153RD ST LOOP STOP 2",,  41.554209, -81.574449,,,0,
00323,,"15410 BROOKPARK RD",,  41.418592, -81.805572,,,0,
00326,,"W 25TH ST & FRANKLIN AV",,  41.489247, -81.706577,,,0,
00331,,"MUNN RD & TUTTLE AV",,  41.458762, -81.805359,,,0,
00332,,"LORAIN AV & TRISKETT RD",,  41.452037, -81.806120,,,0,
00333,,"15583 BROOKPARK RD",,  41.418493, -81.806085,,,0,
00337,,"15610 WALDEN AV",,  41.455002, -81.570784,,,0,
00339,,"15650 PEARL RD",,  41.302630, -81.835312,,,0,
00340,,"15653 PEARL RD",,  41.302020, -81.835035,,,0,
00341,,"15655 BROOKPARK RD",,  41.418514, -81.807310,,,0,
00342,,"15703 WALDEN AV",,  41.455103, -81.570588,,,0,
00343,,"15708 BROOKPARK RD",,  41.418636, -81.807865,,,0,
00344,,"MUNN RD & DORIS RD",,  41.459784, -81.808043,,,0,
